aid,suid,aname,adate,isHoliday
1,14,1월1일,20200101,1
2,14,설날,20200124,1
3,14,설날,20200125,1
4,14,설날,20200126,1
5,14,설날,20200127,1
6,14,삼일절,20200301,1
7,14,제21대 국회의원선거,20200415,1
8,14,부처님오신날,20200430,1
9,14,어린이날,20200505,1
10,14,현충일,20200606,1
11,14,광복절,20200815,1
12,14,임시공휴일,20200817,1
13,14,추석,20200930,1
14,14,추석,20201001,1
15,14,추석,20201002,1
16,14,개천절,20201003,1
17,14,한글날,20201009,1
18,14,기독탄신일,20201225,1
19,14,소한,20200106,0
20,14,대한,20200120,0
21,14,입춘,20200204,0
22,14,우수,20200219,0
23,14,경칩,20200305,0
24,14,춘분,20200320,0
25,14,청명,20200404,0
26,14,곡우,20200419,0
27,14,입하,20200505,0
28,14,소만,20200520,0
29,14,망종,20200605,0
30,14,하지,20200621,0
31,14,소서,20200707,0
32,14,대서,20200722,0
33,14,입추,20200807,0
34,14,처서,20200823,0
35,14,백로,20200907,0
36,14,추분,20200922,0
37,14,한로,20201008,0
38,14,상강,20201023,0
39,14,입동,20201107,0
40,14,소설,20201122,0
41,14,대설,20201207,0
42,14,동지,20201221,0
43,14,1월1일,20210101,1
44,14,설날,20210211,1
45,14,설날,20210212,1
46,14,설날,20210213,1
47,14,삼일절,20210301,1
48,14,어린이날,20210505,1
49,14,부처님오신날,20210519,1
50,14,현충일,20210606,1
51,14,광복절,20210815,1
52,14,대체공휴일,20210816,1
53,14,추석,20210920,1
54,14,추석,20210921,1
55,14,추석,20210922,1
56,14,개천절,20211003,1
57,14,대체공휴일,20211004,1
58,14,한글날,20211009,1
59,14,대체공휴일,20211011,1
60,14,기독탄신일,20211225,1
61,14,소한,20210105,0
62,14,대한,20210120,0
63,14,입춘,20210203,0
64,14,우수,20210218,0
65,14,경칩,20210305,0
66,14,춘분,20210320,0
67,14,청명,20210404,0
68,14,곡우,20210420,0
69,14,입하,20210505,0
70,14,소만,20210521,0
71,14,망종,20210605,0
72,14,하지,20210621,0
73,14,소서,20210707,0
74,14,대서,20210722,0
75,14,입추,20210807,0
76,14,처서,20210823,0
77,14,백로,20210907,0
78,14,추분,20210923,0
79,14,한로,20211008,0
80,14,상강,20211023,0
81,14,입동,20211107,0
82,14,소설,20211122,0
83,14,대설,20211207,0
84,14,동지,20211222,0
85,14,1월1일,20220101,1
86,14,설날,20220131,1
87,14,설날,20220201,1
88,14,설날,20220202,1
89,14,삼일절,20220301,1
90,14,대통령선거일,20220309,1
91,14,어린이날,20220505,1
92,14,부처님오신날,20220508,1
93,14,전국동시지방선거,20220601,1
94,14,현충일,20220606,1
95,14,광복절,20220815,1
96,14,추석,20220909,1
97,14,추석,20220910,1
98,14,추석,20220911,1
99,14,대체공휴일,20220912,1
100,14,개천절,20221003,1
101,14,한글날,20221009,1
102,14,대체공휴일,20221010,1
103,14,기독탄신일,20221225,1
104,14,소한,20220105,0
105,14,대한,20220120,0
106,14,입춘,20220204,0
107,14,우수,20220219,0
108,14,경칩,20220305,0
109,14,춘분,20220321,0
110,14,청명,20220405,0
111,14,곡우,20220420,0
112,14,입하,20220505,0
113,14,소만,20220521,0
114,14,망종,20220606,0
115,14,하지,20220621,0
116,14,소서,20220707,0
117,14,대서,20220723,0
118,14,입추,20220807,0
119,14,처서,20220823,0
120,14,백로,20220908,0
121,14,추분,20220923,0
122,14,한로,20221008,0
123,14,상강,20221023,0
124,14,입동,20221107,0
125,14,소설,20221122,0
126,14,대설,20221207,0
127,14,동지,20221222,0
128,14,1월1일,20230101,1
129,14,설날,20230121,1
130,14,설날,20230122,1
131,14,설날,20230123,1
132,14,대체공휴일,20230124,1
133,14,삼일절,20230301,1
134,14,어린이날,20230505,1
135,14,부처님오신날,20230527,1
136,14,대체공휴일,20230529,1
137,14,현충일,20230606,1
138,14,광복절,20230815,1
139,14,추석,20230928,1
140,14,추석,20230929,1
141,14,추석,20230930,1
142,14,임시공휴일,20231002,1
143,14,개천절,20231003,1
144,14,한글날,20231009,1
145,14,기독탄신일,20231225,1
146,14,소한,20230106,0
147,14,대한,20230120,0
148,14,입춘,20230204,0
149,14,우수,20230219,0
150,14,경칩,20230306,0
151,14,춘분,20230321,0
152,14,청명,20230405,0
153,14,곡우,20230420,0
154,14,입하,20230506,0
155,14,소만,20230521,0
156,14,망종,20230606,0
157,14,하지,20230621,0
158,14,소서,20230707,0
159,14,대서,20230723,0
160,14,입추,20230808,0
161,14,처서,20230823,0
162,14,백로,20230908,0
163,14,추분,20230923,0
